step	dice_multi
0	0.4954155887580733
1	0.4954155887580733
2	0.9167219449991664
3	0.9216996186848494
4	0.9294001751311975
5	0.9252111571583559
6	0.931930403496041
7	0.9332034033885739
8	0.9341255830375834
