step	loss
0	0.3240724205970764
1	0.08023317158222198
2	0.06001121923327446
3	0.048804108053445816
4	0.04135310649871826
5	0.03633198142051697
6	0.03266778215765953
7	0.02991374582052231
8	0.02785920538008213
